	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:47:52 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
           65536      64  843764 1885271  5937810  5947574 5598920 1968393 5775618  3921068  5600859  2033695  2004947 5855591  5866088
           65536     128  862543 1969465  5813608  5883037 5760368 2235419 5755785  4190288  5700755  1923907  2051391 5840040  5854594
           65536     256  874269 1989017  5843144  5920162 5846126 2282360 6099207  3914702  5871852  1956888  2064844 5878634  5902618
           65536     512  887599 2025214  6019601  6119166 6136242 2330998 6310646  3952927  6142686  2140780  2115636 6076690  6073870
           65536    1024  896855 2046017  6144472  6225040 6180947 2369334 6421960  4093441  6220251  1903391  1893988 6142000  6193760
           65536    2048  891416 2043583  6167495  6245123 6213080 2381569 6474600  4091918  6415065  1745580  1741819 6096366  6164037
           65536    4096  892580 2045240  6093528  6232662 6194319 2380105 6169710  4088084  9217346  1725126  1679897 5967588  6099207
           65536    8192  885332 2002566  5540686  5788389 5535107 2331334 5000070  3392976  6978579  1639380  1652856 5306543  5377552
           65536   16384  840043 1878469  3851621  3905358 3892803 2188992 3864834  2232460  3833412  1748800  1815900 3873494  3852592
          131072      64  851980 1916481  6070101  6102105 5610966 1990427 5646002  3803280  5607818  2036699  2034265 5975489  6000076
          131072     128  871274 1994522  6025196  6049994 5644553 2294149 5920149  4196583  5857700  1947197  2076910 6046601  6066217
          131072     256  882740 2032911  5984726  6022094 5900452 2158810 6076341  3612398  5631947  2048065  2100077 5998701  6008667
          131072     512  890174 2065626  6210189  6260043 6173022 2342957 6158500  4125908  6223758  2021311  2144218 6209908  6237669
          131072    1024  898159 2087771  6271111  6325517 6276481 2401815 6393192  4031271  6189075  1812265  1907524 6265108  6300073
          131072    2048  897177 2089191  6265108  6309763 6261469 2247388 6372960  4082977  6321008  1738656  1738331 6230529  6258262
          131072    4096  904830 2095107  6196051  6297908 6280712 2417052 6142330  4088473  6282506  1595808  1666331 6152435  6229682
          131072    8192  887582 2044387  5597997  5779736 5676843 2364349 5577324  3383012  6885908  1534799  1575629 5231594  5333095
          131072   16384  871270 1937582  3880159  3896992 3885919 2081172 3883037  2312893  3813014  1623524  1622819 3864829  3876930
          262144      64  856875 1951025  6150122  6171283 5658665 2002185 5828537  3997558  5722158  1944328  2048862 6106911  6165054
          262144     128  874974 2034016  6141226  6148128 5838410 2130940 5883869  4344731  5922822  1970458  2108809 6105724  6148265
          262144     256  887658 2053776  6069257  6093407 5948199 2328695 5951451  4119042  5983254  1978863  2118985 6050920  6076167
