	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:46:19 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
            8192       4  845511 2741802  7669917  8216483 6832584 2959544 6924845  4037189  6877717  2958525  2947864 7515572  7816482
            8192       8  927318 3075025  9172856  9845745 8605412 3591182 8734477  4973325  8705708  3460959  3397646 9256879  9560822
            8192      16  982161 3178865  9032989  9560822 9090345 3876846 9049643  5085204  8964643  3568061  3568061 9481672  9571475
            8192      32 1022100 3410461  9692982  9980156 9383277 4170981 9479056  5250727  9534292  3637565  3647218 9800810  9905351
            8192      64 1021704 3502234  9868367  9919649 9931117 4316113 9893942  5417973  9582152  3737270  3600590 9406396 10076743
            8192     128  989486 3167728  9102385  9458182 9289414 4211884 9099975  5406890  9319649  3639106  3616888 9194949  9153307
            8192     256 1017258 3368335  8750048  9092750 8865185 4171488 8971666  4805016  9002223  3502234  3509746 9052027  9083135
            8192     512 1031582 3303247  8874344  8962305 9112041 4126896 9052027  4718573  9256879  3610427  3632950 9102385  8974009
            8192    1024  994182 3185053  8111736  9023500 8858329 4112571 8032094  4563770  9194949  3544870  3086627 8218448  9121717
            8192    2048  970729 2979821  6820377  8952964 9061576 3936361 7877411  4490996  9071145  3785860  3867682 7985426  9061576
            8192    4096  962759 2608978  7830733  8438452 8275854 3961322 7913697  4237859  7861190  3274287  4413692 6659114  8032094
            8192    8192  965247 2606405  7275280  7502444 7627351 3435010 6655245  3491912  5821902  3353214  3232699 6884607  7275280
           16384       4  862640 2098893  5876570  6731392 6340718 2427237 5847069  4049276  6333122  2727958  2206946 5838624  6410515
           16384       8  914129 2276473  6617309  7996396 8233027 2928743 7043957  5073867  8079126  3150707  2501727 6706429  7790612
           16384      16  948812 2330279  6895526  7899874 8581561 3183844 7470478  4978660  8393930  3253947  2622700 6835170  7560891
           16384      32  959584 2371042  7062054  8212365 8923673 3275505 7907146  5200975  8803636  3291350  2634160 6919132  8171351
           16384      64  987635 2440945  7105134  8351087 8958573 3468262 8115381  5463116  9096127  3391409  2660163 7176364  7839493
           16384     128  993920 2426123  6527426  7327103 8678010 3638491 7123547  4932206  8519852  3259967  2618502 6960481  7731883
           16384     256  988658 2400277  6633278  7674033 8287637 3469663 7512126  4853136  8283641  3137473  2628619 6569233  7578401
           16384     512  999631 2403467  6577407  7662908 8359214 3511325 7623802  4589312  7797684  3072112  2563986 6692713  7570887
           16384    1024  970616 2411903  6747917  7663763 8368375 3547030 7536017  4620478  9319404  3055583  2583846 6641612  7170374
           16384    2048  982481 2328936  6701197  7574225 7988030 3274257 7308401  4373747  9006713  2994077  2632747 6215129  6869333
           16384    4096  974650 2272709  6506413  6857679 6801345 2921025 6494116  4325296  8283641  3108380  2780723 5732926  6333122
           16384    8192  958901 2147563  5948808  6519376 5762733 2565614 5129541  3448594  6099827  2704979  3443410 5158807  5290262
           16384   16384  948249 2071872  4255390  4336761 4312810 2400193 4018728  2307276  4003976  2421165  2382138 3913007  4112277
           32768      64  961361 2165354  6392269  6619797 6850776 2524325 7323903  5436924  6862406  2530926  2347786 6401201  6571999
           32768     128  970965 2219771  6076044  6222390 6333065 2591192 6784493  5168470  6660217  2524511  2333238 6089505  6260655
           32768     256  975846 2200825  5914709  6123692 6431455 2600409 6658926  4593884  6339199  2459502  2299355 5978516  6082767
           32768     512  971047 2237806  6045842  6254672 6388704 2581604 6826616  4665779  6589013  2457303  2341067 6068264  6175697
           32768    1024  968344 2200227  6145597  6289304 6556324 2614707 6813756  4540913  6495284  2255360  2326799 6104381  6282117
           32768    2048  971335 2230181  6164064  6355321 6416442 2631125 6679314  4644650  9410529  2573676  2376405 6080345  6230853
           32768    4096  967806 2141534  5980597  6206094 6155782 2547061 6128333  4471623  8728607  2543526  2422779 5773095  5954686
           32768    8192  951867 2123369  5475043  5757858 5464811 2482065 5241999  3725359  6868236  2558583  2463381 5085847  5399332
           32768   16384  925179 1952679  3961826  3946015 3971902 2324477 3841458  2447937  3883903  2149976  2858856 3878752  3956580
           65536      64  953444 2226835  5565703  6664222 6549732 2519162 6913114  5217403  6678471  2413224  2368824 6620404  6610374
           65536     128  970083 2238477  6232521  6345463 6322258 2576518 6636548  5144943  6400576  2185268  2337222 6317317  6325313
           65536     256  971335 2244839  6103270  6180808 6120938 2588308 6460600  4971314  6182616  2186067  2316247 6142137  6160031
           65536     512  973498 2226402  6206627  6299221 6312965 2609241 6677660  4730807  6383186  2352323  2324552 6230119  6279793
           65536    1024  976851 2265879  6300954  6370168 6360145 2611001 6747158  4679823  6476583  2361741  2356133 6332599  6319205
           65536    2048  967648 2253489  6279937  6378890 6383186 2621334 6681880  4696294  6556919  2332323  2348885 6156996  6306447
           65536    4096  972327 2237858  6005266  6211957 6219547 2615174 6043556  4598404  8836016  2308582  2355629 5999237  6072126
           65536    8192  961613 2166972  5472188  5732139 5544486 2522259 5460882  3758458  6714688  2108431  2165044 5327730  5514232
           65536   16384  934028 2034839  3878522  3903694 3882028 2361741 3857350  2486754  3858704  1983062  2076104 3843274  3881589
          131072      64  959320 2244388  6754187  6760417 6566772 2538727 6634210  5546377  6642948  2241040  2411984 6708527  6787795
          131072     128  968859 2276385  6393787  6461572 6262396 2610837 6543792  5428517  6370154  2372768  2362937 6343618  6367055
          131072     256  972885 2240245  6173022  6241564 6169281 2587599 6207244  4800656  6214893  2165912  2311347 6230882  6222208
          131072     512  973883 2263684  6243904  6327046 6289478 2619246 6491251  4800823  6329522  2342328  2187274 6314328  6313096
          131072    1024  974288 2282254  6359910  6375103 6400636 2599505 6442717  4671266  6447553  2207342  2356940 6411609  6414751
          131072    2048  964225 2276932  6349186  6401605 6388141 2648777 6540133  4661167  6385321  2198013  2346487 6373551  6395572
          131072    4096  976299 2254808  6059196  6232366 6177114 2438960 6220730  4604520  6257977  2322773  2315679 6064477  6152710
          131072    8192  961453 2192054  5486978  5655702 5583725 2507886 5429000  3743838  6702066  1965422  2056001 5428303  5559782
          131072   16384  936778 2032408  3796661  3838572 3838787 2357364 3813648  2457934  3764269  1732748  1816583 3805386  3823781
          262144      64  966921 2240815  6887841  6904710 6577135 2517370 6755922  5231390  6735973  2239514  2413449 6839808  6884218
          262144     128  973452 2281457  6494963  6628323 6397798 2634237 6471415  5374776  6452616  2215123  2375135 6514666  6581899
          262144     256  972041 2258402  6282786  6325837 6239149 2522551 6220371  4956957  6253449  2151859  2151101 6301077  6309285
          262144     512  993752 2268344  6398282  6461375 6383794 2628431 6386093  4706777  6417065  2197661  2345896 6438069  6447205
          262144    1024  987713 2299464  6401747  6532354 6506609 2472614 6598489  4729879  6442332  2199380  2350439 6522782  6518065
          262144    2048 1004059 2296909  6448945  6559008 6536937 2479438 6559830  4563163  6475874  2201375  2349741 6511426  6541176
          262144    4096  993733 2278224  6202230  6334402 6304437 2460501 6252098  4647450  6196672  2164687  2299407 6241805  6278912
          262144    8192  982213 2229456  5609758  5687262 5671772 2406229 5597421  3861243  5587636  1901358  2010444 5563687  5674230
          262144   16384  951454 2071205  3814387  3837618 3833578 2220263 3816664  2482495  3785743  1647265  1728509 3780497  3843024
          524288      64  987218 2291026  6977220  7036180 6693486 2358822 6867723  5249758  6774358  2264851  2435930 6994241  7024695
          524288     128  982022 2249148  6679255  6732339 6261138 2377078 6576364  5440315  6528220  2169535  2172673 6646329  6713717
          524288     256  986076 2302628  6323505  6397962 6287489 2413992 6315877  5037844  6294815  2192590  2346058 6179135  6376793
          524288     512  995911 2319141  6457766  6544832 6461125 2463295 6470288  4834454  6372229  2206162  2362126 6506259  6533593
          524288    1024  996792 2279969  6542710  6616035 6588679 2422360 6563938  4607785  6580910  2178379  2342726 6563037  6599040
          524288    2048  997200 2334526  6523514  6622969 6586035 2481623 6680533  4549256  6698196  2234550  2384709 6676274  6724146
          524288    4096 1000670 2330605  6421878  6514026 6496609 2483835 6434166  4562555  6483661  2192022  2295863 6426664  6481979
          524288    8192  978580 2226674  5738820  5830666 5665529 2354054 5729042  3717745  5772126  1876639  1992452 5746003  5802205
          524288   16384  952160 2113084  3827704  3865573 3898170 2269074 3900749  2478317  3901794  1633397  1628066 3904641  3904205
         1048576      64  993223 2352987  7254272  7288450 6897989 2396866 7119796  5559583  6991949  2298656  2309624 7235297  7274394
         1048576     128 1004995 2320838  6999983  7063072 6706978 2474929 6911300  5419471  6812257  2232261  2271572 6973766  7017687
